111,"When the weary, seeking rest","When the Weary, Seeking Rest","Horatius Bonar",,,,"when_the_weary_seeking_rest","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 When the weary, seeking rest,


To Thy goodness flee;


When the heavy-laden cast


All their load on Thee;


When the troubled, seeking peace,


On Thy Name shall call;


When the sinner, seeking life,


At Thy feet shall fall:


Hear then in love, O Lord, the cry


In heaven, Thy dwelling-place on high.



2 When the worldling, sick at heart,


Lifts his soul above;


When the prodigal looks back


To his Father's love;


When the proud man, in his pride,


Stoops to seek Thy face;


When the burdened brings his guilt


To Thy Throne of grace:


Hear then in love, O Lord, the cry


In heaven, Thy dwelling-place on high.



3 When the stranger asks a home,


All his toils to end;


When the hungry craveth food,


And the poor a friend;


When the sailor on the wave,


Bows the fervent knee;


When the soldier on the field,


Lifts his heart to Thee:


Hear then in love, O Lord, the cry


In heaven, Thy dwelling-place on high.



4 When the child, with loving heart,


Youth, or maiden fair;


When the aged, trusting still,


Seek Thy face in prayer;


When the widow weeps to Thee,


Sad and lone and low;


When the orphan brings to Thee


All his orphan woe:


Hear then in love, O Lord, the cry


In heaven, Thy dwelling-place on high.



Amen."
112,"Yes, for me, for me He careth","The elder brother","Horatius Bonar",,,,"yes_for_me_for_me_he_careth","NCH1929","The New Christian Hymnal",1929,"Non-Archaic","1. Yes, for me, for me He careth


With a brother's tender care;


Yes, with me, with me He shareth


Ev'ry burden, ev'ry fear.


Yes, o'er me, o'er me He watcheth,


Ceaseless watcheth, night and day;


Yes, e'en me, e'en me He snatcheth


From the perils of the way.



2. Yes, for me He standeth pleading


At the merecy-seat above;


Ever for me interceding,


Constant in untiring love.


Yes, in me, in me He dwelleth;


I in Him, and He in me!


And my empty soul He filleth,


Here and thro' eternity."
113,"Yet there is room: the Lamb's bright hall of song",,"Horatius Bonar",,,,"yet_there_is_room_the_lambs_bright_hall_","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 'Yet there is room:' the Lamb's bright hall of song,


With its fair glory, beckons thee along:


Room, room, still room! O enter, enter now.



2 Day is declining, and the sun is low;


The shadows lengthen, light makes haste to go:


Room, room, still room! O enter, enter now.



3 The bridal hall is filling for the feast;


Pass in, pass in, and be the Bridegroom's guest:


Room, room, still room! O enter, enter now.



4 It fills, it fills, that hall of jubilee!


Make haste, make haste, 'tis not too full for thee:


Room, room, still room! O enter, enter now.



5 Yet there is room: still open stands the gate,


The gate of love; it is not yet too late:


Room, room, still room! O enter, enter now.



6 O enter in; that banquet is for thee;


That cup of everlasting joy is free:


Room, room, still room! O enter, enter now.



7 All heaven is there, all joy! Go in, go in;


The angels beckon thee the prize to win:


Room, room, still room! O enter, enter now.



8 Louder and sweeter sounds the loving call;


Come, lingerer, come; enter that festal hall:


Room, room, still room! O enter, enter now.



9 Ere night that gate may close, and seal thy doom;


Then the last low, long cry, 'No room, no room!'


No room, no room! O woeful cry, 'No room!'



Amen."
114,"Where the angel hosts adore thee",,"Isaac Williams","Jean Baptiste de Santeuil",,,"where_the_angel_hosts_adore_thee","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 Where the angel-hosts adore Thee,


Thou, O God, in heaven dost reign;


At Thy word they rose around Thee,


And Thy word dost them sustain.



2 Thousand times ten thousand, bending


At Thy throne, their homage pay;


Flames of fire in strength excelling,


Swift Thy pleasure to obey.



3 Fashioned in a wondrous order,


Thee they serve, their Lord and King;


Grant that in our cares and dangers


They may timely succor bring.



4 Praise to Thee Who hast created


Earth and heaven with all their host;


Praise to Thee, O God most mighty,


Father, Son, and Holy Ghost.



Amen.


"
115,"Lord, in this thy mercy's day","Lord, in this thy mercy's day","Isaac Williams",,,,"lord_in_this_thy_mercys_day","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 Lord, in this Thy mercy's day,


Ere the time shall pass away,


On our knees we fall and pray.



2 Holy Jesu, grant us tears,


Fill us with heart-searching fears,


Ere that hour of doom appears.



3 Lord, on us Thy Spirit pour,


Kneeling lowly at Thy door,


Ere it closes evermore.



4 By Thy night of agony,


By Thy supplicating cry,


By Thy willingness to die,



5 By Thy tears of bitter woe


For Jerusalem below,


Let us not Thy love forego.



6 Judge and Saviour of our race,


When we see Thee face to face,


Grant us 'neath Thy wings a place.



7 On Thy love we rest alone,


And that love shall then be known


By the pardoned round Thy throne."
116,"O Heavenly Jerusalem","O Heavenly Jerusalem","Isaac Williams",,,,"o_heavenly_jerusalem","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 O Heavenly Jerusalem,


Of everlasting halls,


Thrice bless'd are the people


Thou storest in thy walls.



2 Thou art the golden mansion,


Where saints forever sing,


The seat of God's own chosen,


The palace of the king.



3 There God for ever sitteth,


Himself of all the crown;


The Lamb, the Light that shineth,


And never goeth down.



4 Naught to this seat approacheth


Their sweet peace to molest;


They sing their God forever,


Nor day nor night they rest.



5 Sure hope doth thither lead us;


Our longings thither tend;


May short-lived toil ne'er daunt us


For joys that cannot end.



6 To Christ, the Sun that lightens


His Church above, below;


To Father, and to Spirit


All things created bow.



Amen."
117,"O Holy Ghost, Thou God of peace","O Holy Ghost, Thou God of peace","Isaac Williams",,,,"o_holy_ghost_thou_god_of_peace","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 O Holy Ghost, Thou God of peace,


Pity Thy Church, now rent in twain;


Bid wrath, and strive, and variance cease,


And let us all be one again;



2 One with our brethren here in love,


And one with saints that are at rest,


And one with angel hosts above,


And one with God forever blest.



3 Oh, make on earth all churches one,


One with the blessed gone before,


All nit in sweet communion,


To love Thee, worship, and adore.



4 For one the Lord on Whom we call,


The Spirit one whom He hath given,


One God and Father of us all,


One Faith on earth, one Hope in heaven.



Amen."
118,"Soldiers who to Christ belong",,"Isaac Williams",,,,"soldiers_who_to_christ_belong","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral,Non-Archaic","1 Soldiers who to Christ belong,


Trust ye in His word, be strong;


For His promises are sure,


His rewards for aye endure.



2 His no crowns that pass away,


His no palm that sees decay,


His the joy that shall not fade,


His the light that knows no shade;



3 His the home for spirits blest,


Where He gives them peaceful rest,


Far above the starry skies,


In the bliss of Paradise.



4 Here on earth ye can but clasp


Things that perish in the grasp;


Lift your hearts, then, to the skies;


God Himself shall be your prize.



5 Praise we now with saints at rest


Father, Son, and Spirit blest;


For His promises are sure,


His rewards shall aye endure.


"
119,"O what precious balm and healing","O What Precious Balm and Healing","J. Heermann","Richard Massie",,,"jesus_grant_that_balm_and_healing","ELH","Evangelical Lutheran Hymnary",1996,,"1  O what precious balm and healing,


Jesus, in Thy wounds I find!


Ev'ry hour that I am feeling


Pains of body and of mind;


Should some evil thought rush in,


And provoke my soul to sin,


Thoughts of Thy deep wounds from sinning


Keep me in its first beginning.



2 Should some lust or sharp temptation


Prove too strong for flesh and blood,


Lo! I think upon Thy Passion,


And the breach is soon made good:


Or should Satan press me hard,


Thinking I am off my guard,


Christ, I say, for me was wounded,


And the tempter flees confounded.



3 If the world my heart entices


On the broad and easy road,


And doth by its gay devices


Silence ev'ry thought of God,


When the heavy load I see


Which, dear Lord, was laid on Thee,


I can still each wild emotion,


Calm and blest in my devotion.



4 Lord, whate'er may pain or grieve me,


Thy dear wounds can make me whole;


When my heart sinks, they revive me,


Life pours in upon my soul:


May Thy comfort render sweet


Ev'ry bitter cup I meet;


Thou who by Thy death and Passion


Hast procured my soul's salvation.



5 Lord, on Thee alone I stay me,


Safely hid beneath Thy wing;


Death can neither hurt nor slay me,


Thy death took away his sting:


That I may in Thee have part,


Comfort, strengthen, heal my heart;


Light, and life, and love bestowing,


All from Thy free mercy flowing.



6 Well of life, if Thou art near me,


Springing deep within my heart,


When the last dread hour shall try me,


I can feel no inward smart:


If I hide myself in Thee,


Not a foe can injure me;


He shall overcome who hideth


In Thy wounds, and there abideth."
120,"Jesus, thy name I love",,"James G. Deck",,,,"jesus_thy_name_i_love","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Jesus, Thy Name I love


All other names above,


Jesus, my Lord:


O Thou art all to me;


Nothing to please I see,


Nothing apart from Thee,


Jesus, my Lord.



2 Thou, blessed Son of God,


Hast bought me with Thy blood,


Jesus, my Lord:


O how great is Thy love,


All other loves above,


Love that I daily prove,


Jesus, my Lord.



3 When unto Thee I flee,


Thou wilt my Refuge be,


Jesus, my Lord:


What need I now to fear,


What earthly grief or care,


Since Thou art ever near?


Jesus, my Lord.



4 Soon Thou wilt come again;


I shall be happy then,


Jesus, my Lord:


Then Thine own face I'll see,


Then I shall like Thee be,


Then evermore with Thee,


Jesus, my Lord.



Amen."
121,"O Lamb of God, still keep me","O Lamb of God, still keep me","James G. Deck",,,,"o_lamb_of_god_still_keep_me","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 O Lamb of God, still keep me


Near to Thy wound'd side!


'Tis only there in safety


And peace I can abide.


What foes and snares surround me!


What doubts and fears within!


The grace that sought and found me


Alone can keep me clean.



2 'Tis only in Thee hiding,


I know my life secure;


Only in Thee abiding,


The conflict can endure:


Thine arm the victory gaineth


O'er every hateful foe;


Thy love my heart sustaineth


In all its care and woe.



3 Soon shall my eyes behold Thee,


With rapture, face to face;


One half hath not been told me


Of all Thy power and grace:


Thy beauty, Lord, and glory,


The wonders of Thy love,


Shall be the endless story


Of all Thy saints above.



Amen."
