firstLine,textTitle,refrainFirstLine,languages,authors,meter,textAuthNumber,textSources
"A light streams downward from the sky",,,,"Grace W. Hinsdale",,a_light_streams_downward_from_the_sky,
"A lighthouse in life's dangerous sea","Let us keep a steady light","Then let us keep a steady light",,"William C. Martin",,a_lighthouse_in_lifes_dangerous_sea,
"A lily in a desert land drank in the dewy air","The lily and the bee",,,"Orson F. Whitney",,a_lily_in_a_desert_land_drank_in_the_dew,
"A line is drawn today between the church and the","Which side are you on",,,"Newton W. Allphin",,a_line_is_drawn_today_between_the_church,
"A lion, though by nature wild",,,,"John Newton",,a_lion_though_by_nature_wild,
"A listening ear, O come and give",,,,,,a_listening_ear_o_come_and_give,
"A list'ning ear, O come and give",,,,,,a_listning_ear_o_come_and_give,
"A little band of hope boy",,,,"R. H. Sadler",,a_little_band_of_hope_boy,
"A little band of knights are we","The knights' marching song","Marching on, marching on",,"Frances Weld Danielson",,a_little_band_of_knights_are_we,
"A little band, we are singing today","Singing for the Shepherd","We are singing, sweetly singing",,"A. B. Woolverton",,a_little_band_we_are_singing_today,
"A little bird am I","A prisoner's song",,,"Madame Guyon",,a_little_bird_am_i,
"A little bird built a warm nest in a tree","Bird's nest",,,,,a_little_bird_built_a_warm_nest_in_a_tre,
"A little bird I am",,,,"Madame Guyon",,a_little_bird_i_am,
"A little bird sat in a cherry tree",,"Chirp, chirp, twee, twee",,"Grace L. Hosmer",,a_little_bird_sat_in_a_cherry_tree,
"A little bird, with trembling wings","Let me to Thy bosom fly","Jesus, lover of my soul, Let me to Thy bosom fly",,"Eliza E. Hewitt",,a_little_bird_with_trembling_wings,
"A little bit of blowing",,,,"C. S. Bailey",,a_little_bit_of_blowing,
"A little bit of sunshine","Bits of sunshine","Sunshine, sunshine, a little bit of sunshine",,"I. Mench Chambers",,a_little_bit_of_sunshine,
"A little black ant found a large grain of wheat","The ants",,,,,a_little_black_ant_found_a_large_grain_o,
"A little boy a fountain sought","The boy and the fountain",,,,,a_little_boy_a_fountain_sought,
"A little boy in Galilee Could sit beneath an olive",,,,"Betty Doughfman",,a_little_boy_in_galilee_could_sit_beneat,
"A little boy in our town",,,,"Ida L. Reed",,a_little_boy_in_our_town,
"A little boy lay down to rest",,"Make room for me, Lord Jesus",,,,a_little_boy_lay_down_to_rest,
"A little boy went walking",,,,"Emile Poulsson",,a_little_boy_went_walking,
"A little brook that murmurs",,"A little act is but the seed",,"Harry Mack",,a_little_brook_that_murmurs,
"A little brown-eyed boy once stood","Move on, Move on",,,"Johnson Oatman",,a_little_browneyed_boy_once_stood,
"A little child at Jesus' feet","At Jesus' feet",,,,,a_little_child_at_jesus_feet,
"A little child can brightly shine","A little child can serve Jesus","Dear children, think of Jesus' love",,"J. M. Hunter",,a_little_child_can_brightly_shine,
"A little child can sing",,,,"Vida Munden Nixon",,a_little_child_can_sing,
"A little child I am, indeed","Something I can do","There's something I can do",,"Robert Lowry",,a_little_child_i_am_indeed,
"A little child I know I am",,"Little child, little child",,"Pearl J. Sprague",,a_little_child_i_know_i_am,
"A little child I pray",,"Jesus died for me",,"Edward Payson Hammond",,a_little_child_i_pray,
"A little child, in bulrush ark",,,,"William Johnson Fox",,a_little_child_in_bulrush_ark,
"A little Child in manger lay","Bell Carol",,English,"Louise Morey Bowman",,a_little_child_in_manger_lay,
"A little child is kneeling","Lost after all","After the days of childhood",,,,a_little_child_is_kneeling,
"A little child lay dying as the sunset hour",,"We'll all meet again in the morning",,"Kate Cameron",,a_little_child_lay_dying_as_the_sunset_h,
"A little child lay dying, With none to soothe his","Hold up your hand for Jesus","I want to tell you",,"Theodore D. C. Miller",,a_little_child_lay_dying_with_none_to_so,
"A little child lay on her couch","The dying child",,,"S. P. Creasinger",,a_little_child_lay_on_her_couch,
"A little child may do much good",,"Come, come, come to the Sabbath school",,"Alfred Arthur Graley",,a_little_child_may_do_much_good,
"A little child may know",,,,"Jane Elizabeth Leeson",,a_little_child_may_know,
"A little child of seven","A little child may enter",,,,,a_little_child_of_seven,
"A little child on the earth has been born",,,,"R. C. Trevelyan",,a_little_child_on_the_earth_has_been_bor,
"A little child shall lead","And a little child shall lead them","Let us read again this story",,"W. C. Hafley",,a_little_child_shall_lead,
"A little child so fair and bright",,,,"Nikolai F. S. Grundtvig",,a_little_child_so_fair_and_bright,
"A little child the Savior came","A Little Child the Savior Came",,English,"William Robertson",8.8.8.8,a_little_child_the_savior_came,
"A little child there is y-born",Susanni,"Eia, eia, susanni, susanni",,,,a_little_child_there_is_yborn,
"A little child was dying","Meet me over there","I'm going home to glory",,"Elisha A. Hoffman",,a_little_child_was_dying,
"A little child who loves to pray",,,,"Aldine S. Kieffer",,a_little_child_who_loves_to_pray,
"A little child, who loves to see","Mother, who made the flowers",,,,,a_little_child_who_loves_to_see,
"A little child, you are the Guest",,,,"Martin Luther",,a_little_child_you_are_the_guest,
"A little Childe there is aborn",,,,,,a_little_childe_there_is_aborn,
"A little childish voice is stilled",,"Papa, come this way",,"Mate E. Bliss Willson",,a_little_childish_voice_is_stilled,
"A little Christmas gift","A christmas gift","'Tis love, love",,"Lizzie DeArmond",,a_little_christmas_gift,
"A little flock, so calls He thee",,,,"Horatius Bonar",,a_little_flock_so_calls_he_thee,
"A little further on, pilgrim",,,,"George H. Spring",,a_little_further_on_pilgrim,
"A little girl knelt down to pray","The angel guard",,,,,a_little_girl_knelt_down_to_pray,
"A little girl was sitting","The girl and the sceptic",,,,,a_little_girl_was_sitting,
"A little girl with a happy look","Little children, love one another",,,,,a_little_girl_with_a_happy_look,
"A little gleam of sunshine bright",,"A little bit of heaven",,"Lucile Lincoln",,a_little_gleam_of_sunshine_bright,
"A little golden sunbeam","Do good to others","Go forth, do good to others",,"Fanny J. Crosby",,a_little_golden_sunbeam,
"A little house of life",,,,"William Channing Gannett",,a_little_house_of_life,
"A little kingdom I possess",,,,"Louisa May Alcott",,a_little_kingdom_i_possess,
"A little Lamb bears all the guilt",,,,"Paul Gerhardt",,a_little_lamb_bears_all_the_guilt,
"A little lamb forsook the fold","The stray lamb",,,,,a_little_lamb_forsook_the_fold,
"A little lamb has wandered","The little lost lamb","Don't go astray, little lamb",,"Frank Leroy Cross",,a_little_lamb_has_wandered,
"A little lamb once left the fold","The good shepherd",,,"W. J. C. Thiel",,a_little_lamb_once_left_the_fold,
"A little lamb, one afternoon","The little lamb",,,,,a_little_lamb_one_afternoon,
"A little lamb went straying",,,,"Albert Midlane",,a_little_lamb_went_straying,
"A little light to shine at night",,"This light of mine",,"W. B. Dingman",,a_little_light_to_shine_at_night,
"A little longer, ere life","Heaven awaits thee",,,,,a_little_longer_ere_life,
"A little longer here below",,"There's crowns above, there's crowns above",,,,a_little_longer_here_below_and_then_away,
"A little longer here below, And we'll go home to glory","A home in glory","O glory, O glory",,,,a_little_longer_here_below_and_well_go,
"A little longer here below, Climbing up Zion's hill",,"We're almost there",,,,a_little_longer_here_below_climbing_up,
"A little longer here below, I have a home in glory",,"O glory, O glory",,,,a_little_longer_here_below_i_have_a_home,
"A little longer here below Where these dark","To that land",,,,,a_little_longer_here_below_where_these_d,
"A little longer still",,,,,,a_little_longer_still,
"A little longer, weary","Land of the pilgrim's rest","Ah, that evergreen land",,"H. L. Frisbie",,a_little_longer_weary,
"A little longer yet, a little longer",,,,,,a_little_longer_yet_a_little_longer,
"A little, low-ceiled room.  Four walls",,,,"A. D. T. Whitney",,a_little_lowceiled_room_four_walls,
"A little maid with soft blue eyes","Echoes of old hymns",,,"Rose Keene",,a_little_maid_with_soft_blue_eyes,
"A little maiden to our door",,"O 'tis there beyond the starry plain",,"Josephine Pollard",,a_little_maiden_to_our_door,
"A little man of whom we read","Something more than gold",,,,,a_little_man_of_whom_we_read,
"A little man of whom we read  Who lived in days of","More than gold","O yes, O yes, there's something more",,"Thoro Harris",,a_little_man_of_whom_we_read_who_lived_i,
"A little more devotion, To Christian piety",,,,,,a_little_more_devotion_to_christian_piet,
"A little more giving, a little less greed","A Little More And Less",,English,"C. A. M.",,a_little_more_giving_a_little_less_greed,
"A little more prayer as the years roll by",,"A little more faith, a little more prayer",,"Eliza E. Hewitt",,a_little_more_prayer_as_the_years_roll_b,
"A little more rough tossing",,,,"Francis A. Blackmer",,a_little_more_rough_tossing,
"A little particle of rain",,,,,,a_little_particle_of_rain,
"A little prayer I raise to Thee",,"More like thee",,"Isaac H. Meredith",,a_little_prayer_i_raise_to_thee,
"A little rain and a little sun",,,,,,a_little_rain_and_a_little_sun,
"A little robin built a nest",,,,,,a_little_robin_built_a_nest,
"A little robin in the Spring",,"Toil on",,"Emma Pitt",,a_little_robin_in_the_spring,
"A little robin redbreast",,,,"Alice G. Thorn",,a_little_robin_redbreast,
"A little robin sweetly singing","Robin's advice",,,,,a_little_robin_sweetly_singing,
"A little seed at random cast",,,,"S. C. Kirk",,a_little_seed_at_random_cast,
"A little seed lay fast asleep",,,,"Clara Writer",,a_little_seed_lay_fast_asleep,
"A little seed one evening fell",,"Lie still and go to sleep",,"S. C. Kirk",,a_little_seed_one_evening_fell,
"A little sheep was straying","The straying sheep",,,"Stella B. Daleburn",,a_little_sheep_was_straying,
"A little ship was on the sea",,,,"Dorothy A. Thrupp",,a_little_ship_was_on_the_sea,
"A little sin, it seems, at first","Little sins",,,,,a_little_sin_it_seems_at_first,
"A little snowflake",,"Tiny flakes",,,,a_little_snowflake,
"A little soldier of the King",,"Happy birthday",,"Lizzie DeArmond",,a_little_soldier_of_the_king,
"A little song for Jesus",,,,"Thomas C. Neal",,a_little_song_for_jesus,
"A little spring had lost its way",,,,,,a_little_spring_had_lost_its_way,
"A little spring we raise",,,,,,a_little_spring_we_raise,
"A little spring within my",,"This little spring is Jesus' love",,"P. F. Camp",,a_little_spring_within_my,
"A little spring within my heart",,"This little spring is Jesus' love",,"P. F. Camp",,a_little_spring_within_my_heart,
"A little star creeps o'er",,,,"A. M. Drayton",,a_little_star_creeps_oer,
"A little stream in the East","Joined in love","A band of children up here",,"S. C. Kirk",,a_little_stream_in_the_east,
"A little talk with Jesus, How it smoothes the",,,,"Fanny J. Crosby",,a_little_talk_with_jesus_how_it_smoothes,
"A little talk with Jesus is all",,"A little talk is all",,,,a_little_talk_with_jesus_is_all,
"A little talk with Jesus, it fills",,,,"E. W. Chapman",,a_little_talk_with_jesus_it_fills,
"A little talk with Jesus, No matter when or where",,,,"William T. Sleeper",,a_little_talk_with_jesus_no_matter_when_,
"A little talk with Jesus, when tempted by the way",,"The blood of Jesus cleanseth",,"R. E. Hudson",,a_little_talk_with_jesus_when_tempted_by,
"A little that a just man hath",,,,,,a_little_that_a_just_man_hath,
"A little that the righteous hold","A Little That The Righteous Hold.",,English,,"8.8.6 D",a_little_that_the_righteous_hold,
"A little tiny bird",,,,"H. K. Lewis",,a_little_tiny_bird,
"A little, 'tis a little word",,,,,,a_little_tis_a_little_word,
"A little voice is heard to say","Little things",,,,,a_little_voice_is_heard_to_say,
"A little western maiden came","She had never heard of Jesus","I never heard tell about Jesus",,"E. G. Fowler",,a_little_western_maiden_came,
"A little while",,,,"Abner P. Cobb",,a_little_while,
"A little while, a little",,,,"J. M. Orrock",,a_little_while_a_little,
"A little while, a little while",,,,"Maud Frazer Jackson",,a_little_while_a_little_while,
"A little while, and every fear",,,,"R. K. Greville",,a_little_while_and_every_fear,
"A little while, and He shall come",,"Then come, Lord Jesus, quickly come",,"D. W. Whittle",,a_little_while_and_he_shall_come,
"A little while, and He will come",,,,,,a_little_while_and_he_will_come,
"A little while, and then",,,,"Fanny J. Crosby",,a_little_while_and_then,
"A little while and then our weary feet",,"Earth frowns a while, then heaven smiles",,"Will H. Ruebush",,a_little_while_and_then_our_weary_feet,
"A little while, and then the battle ceases",,,,"A. E. Bloom",,a_little_while_and_then_the_battle_cease,
"A little while and then the summer day","When I go home",,,"Jennie Ree",,a_little_while_and_then_the_summer_day,
"A little while, and we shall be",,"A little while and we shall see",,"George Paulin",,a_little_while_and_we_shall_be,
"A little while, and we shall be  From all our care",,"It will be sweet our friends to meet",,"Elisha A. Hoffman",,a_little_while_and_we_shall_be_from_all_,
"A little while, and we shall be  Where sin shall",,,,"George Paulin",,a_little_while_and_we_shall_be_where_sin,
"A little while for sorrow's tears","With him in glory","To be with Christ in glory",,"Maud Frazer Jackson",,a_little_while_for_sorrows_tears,
"A little while in darkness",,,,"W. F. Cosner",,a_little_while_in_darkness,
"A little while longer here below",,"For I'm happy now, and shall be then",,,,a_little_while_longer_here_below,
"A little while longer to hope",,"O, happy time",,"Anthony J. Showalter",,a_little_while_longer_to_hope,
"A little while longer to labor",,,,"Eden Reeder Latta",,a_little_while_longer_to_labor,
"A little while longer to tarry",,,,,,a_little_while_longer_to_tarry,
"A little while; now He has come",,"Then, O Lord Jesus, quickly show",,,,a_little_while_now_he_has_come,
"A little while, O hands, of labor weary",,,,,,a_little_while_o_hands_of_labor_weary,
"A little while of mingled joy",,,,,,a_little_while_of_mingled_joy,
"A little while of quaff the cup of sorrow","Only a little while",,,"Toria A. Buck",,a_little_while_of_quaff_the_cup_of_sorro,
"A little while of suffering",,,,,,a_little_while_of_suffering,
"A little while of toil and turmoil",,,,"Fred P. Morris",,a_little_while_of_toil_and_turmoil,
"A little while, our Lord shall come",,,,"James G. Deck",,a_little_while_our_lord_shall_come,
"A little while, saith yonder sun",,,,,,a_little_while_saith_yonder_sun,
"A little while, so spake our gracious Lord",,,,"Meta Heusser-Schweitzer",,a_little_while_so_spake_our_gracious_lor,
"A little while the cross to bear","A Little While","A little while, a little while",,"Minnie A. Greiner",,a_little_while_the_cross_to_bear,
"A little while, the Lord shall come",,,,"James G. Deck",,a_little_while_the_lord_shall_come,
"A little while, the Master says",,,,"H. Petty",,a_little_while_the_master_says,
"A little while, the time draws near",,"I'm going home where Jesus is",,"Orzelia McLaughlin",,a_little_while_the_time_draws_near,
"A little while the winds may",,,,"G. S. Woodhull",,a_little_while_the_winds_may,
"A little while to gather flowers",,,,"Jennie Ree",,a_little_while_to_gather_flowers,
"A little while to sow and reap",,"To Jesus, to Jesus",,"F. L. Johnson",,a_little_while_to_sow_and_reap,
"A little while to tell the wondrous story",,,,"W. G. Coltman",,a_little_while_to_tell_the_wondrous_stor,
"A little while to toil along",,,,,,a_little_while_to_toil_along,
"A little while to wait, and watch and wonder",,,,"Charles H. Crandall",,a_little_while_to_wait_and_watch_and_won,
"A little while to walk",,,,,,a_little_while_to_walk,
"A little while together",,,,"R. Rivers",,a_little_while_together,
"A little while we labor",,,,"Lily W. Grafton",,a_little_while_we_labor,
"A little while we live below",,,,"Horatius Bonar",,a_little_while_we_live_below,
"A little while with Jesus",,,,"Judson W. Van De Venter",,a_little_while_with_jesus,
"A little, with God's favour bless'd",,,,,,a_little_with_gods_favor_blessed,
"A little word in kindness said",,,,,,a_little_word_in_kindness_said,
"A little word in kindness spoken",,,,"Daniel C. Colesworthy",,a_little_word_in_kindness_spoken,
"A little word in love expressed",,,,,,a_little_word_in_love_expressed,
"A little work for Jesus",,"Working for the Savior",,"Edgar Page",,a_little_work_for_jesus,
"A living faith give me, O Lord","Living faith",,,"Edward C. Avis",,a_living_faith_give_me_o_lord,
"A living fountain, clear and pure",,,,"B. T. Jameson",,a_living_fountain_clear_and_pure,
"A living, loving, lasting word","A living, loving, lasting word",,English,"A. L. Waring",8.8.6.8.8.6,a_living_loving_lasting_word,
"A living Redeemer O blessed the thought","No time to waste","Delay not, delay not",,"W. L. Brown",,a_living_redeemer_o_blessed_the_thought,
"A living sacrifice","A Living Sacrifice",,English,"Rusty Edwards",6.6.8.6,a_living_sacrifice,
"A living stream as crystal clear",,,,"John Mason",,a_living_stream_as_crystal_clear,
"A lofty pine that for yeard had","The tree song","The hand by which the worlds were",,"John R. Clements",,a_lofty_pine_that_for_yeard_had,
"A l'omb re de ton aile",,,,,,a_lomb_re_de_ton_aile,
"A lonely and helpless lost child I followed","Rejoicing I go Jerusalem bound","I'm going along and singing a song",,"W. Oliver Cooper",,a_lonely_and_helpless_lost_child_i_follo,
"A lonely loving mother waits",,"O wandering boy, come home",,"Peter P. Bilhorn",,a_lonely_loving_mother_waits,
"A long-lost lamb is in the fold","A Long-Lost Lamb","Good news! It's time to celebrate",English,"Mary Nelson Keithahn","8.6.8.6 with refrain",a_longlost_lamb_is_in_the_fold,"Time Now to Gather"
"A long time ago I struggled with conflicts within","Freedom in Christ",,,"S. Sterling",,a_long_time_ago_i_struggled_with_conflic,
"A long time ago, when Janett was a child",,,,,,a_long_time_ago_when_janett_was_a_child,
"A long time I waited in sorrow and fear","Now I am  free","O, now I am free, in Jesus I'm free",,"Sallie Keep Best",,a_long_time_i_waited_in_sorrow_and_fear,
"A long time I wandered away","Safe on the Rock","Now safe on the rock, let us sing",,"D. S. Warner",,a_long_time_i_wandered_away,
"A long time I wandered in darkness and sin",,"I wished He were mine",,"Philip P. Bliss",,a_long_time_i_wandered_in_darkness_and_s,
"A long time I wandered in sorrow and sin",,"It is done, it is done",,"Elisha A. Hoffman",,a_long_time_i_wandered_in_sorrow_and_sin,
"A long time I wondered if Christ would come in","I know He is mine",,,"Civilla D. Martin",,a_long_time_i_wondered_if_christ_would_c,
"A look into my Bible",,"It means so much, so much to me",,"Eliza E. Hewitt",,a_look_into_my_bible,
"A Lord's Day well spent",,,,"Mary Whitwell Hale",,a_lords_day_well_spent,
"A los montes elevo la vista",,,,"Charles Wesley",,a_los_montes_elevo_la_vista,
"A los ninos con amor",,"Cristo ama a los ninos",,,,a_los_ninos_con_amor,
"A los pies de Jesucristo  Siempre quiero hallarme",,,,"Henry C. Ball",,a_los_pies_de_jesucristo_siempre_quiero_,
"A love that casteth out all fear",,,,"W. M. Conner",,a_love_that_casteth_out_all_fear,
"A loved one gone, a loved one gone","Gloria, an angel born  today",,,"A. B. Whiting",,a_loved_one_gone_a_loved_one_gone,
"A loved one has gone with the Savior to be","Beyond the bright gates",,,"Charles Walker Ray",,a_loved_one_has_gone_with_the_savior_to_,
"A lovely band of children",,,,"Josephine L. Baldwin",,a_lovely_band_of_children,
"A lovely infant sleeps in death",,,,"A. C. Judson",,a_lovely_infant_sleeps_in_death,
"A lovely island of mansions grand","When I cross o'er the great divide","Some of these",,"W. Oliver Cooper",,a_lovely_island_of_mansions_grand,
"A lovely lily dreamed","A star and a lily",,,"A. E. Allen",,a_lovely_lily_dreamed,
"A lovely youth has had to yield",,,,,,a_lovely_youth_has_had_to_yield,
"A loving friend today is standing",,"His hand is knocking",,"Luther G. Presley",,a_loving_friend_today_is_standing,
"A loving hand is leading me",,"So let me walk the narrow way",,"R. F. R. Bell",,a_loving_hand_is_leading_me,
"A loving voice is heard",,"O, come, ever trusting",,"Eliza E. Hewitt",,a_loving_voice_is_heard,
"A lowering sky with heavy clouds",,,,"Minot Judson Savage",,a_lowering_sky_with_heavy_clouds,
"A loyal army gathers all","Down wrong must go","Then down, down, down",,"Ida L. Reed",,a_loyal_army_gathers_all,
"A loyal army gathers all over this broad land","Down wrong must go",,,"Ida L. Reed",,a_loyal_army_gathers_all_over_this_broad,
"A loyal band we gladly speed","Marching on to victory","We're soldiers of Jesus marching",,"Lizzie DeArmond",,a_loyal_band_we_gladly_speed,
"A maiden like my Laura",,,,,,a_maiden_like_my_laura,
"A maiden sank on her knees in prayer","The missionary's call",,,"Anna Hanson Berg",,a_maiden_sank_on_her_knees_in_prayer,
